Kelompok,Jumlah (n),Jumlah (%),Laki-laki (n),Laki-laki (%),Perempuan (n),Perempuan (%)
Di bawah 1 Tahun,5,0.34%,4,0.27%,1,0.07%
2 s/d 4 Tahun,28,1.90%,14,0.95%,14,0.95%
5 s/d 9 Tahun,93,6.31%,49,3.32%,44,2.98%
10 s/d 14 Tahun,86,5.83%,38,2.58%,48,3.25%
15 s/d 19 Tahun,104,7.05%,48,3.25%,56,3.80%
20 s/d 24 Tahun,138,9.36%,71,4.81%,67,4.54%
25 s/d 29 Tahun,116,7.86%,56,3.80%,60,4.07%
30 s/d 34 Tahun,156,10.58%,82,5.56%,74,5.02%
35 s/d 39 Tahun,118,8.00%,62,4.20%,56,3.80%
40 s/d 44 Tahun,125,8.47%,63,4.27%,62,4.20%
45 s/d 49 Tahun,149,10.10%,67,4.54%,82,5.56%
50 s/d 54 Tahun,156,10.58%,79,5.36%,77,5.22%
55 s/d 59 Tahun,197,13.36%,96,6.51%,101,6.85%
60 s/d 64 Tahun,101,6.85%,48,3.25%,53,3.59%
65 s/d 69 Tahun,112,7.59%,60,4.07%,52,3.53%
70 s/d 74 Tahun,44,2.98%,18,1.22%,26,1.76%
Di atas 75 Tahun,85,5.76%,33,2.24%,52,3.53%
BELUM MENGISI,-338,-22.92%,-158,-10.71%,-180,-12.20%
