InvoiceNo,InvoiceDate,CustomerID,ProductID,Category,UnitPrice,Quantity,Status,Country,TotalPrice
INV-000001,2023-02-18,CUST-03335,PROD-0025,Clothing,398000.0,1,Completed,Singapore,398000.0
INV-000002,2023-01-28,CUST-03368,PROD-0060,Electronics,10380000.0,1,Completed,Indonesia,10380000.0
INV-000003,2023-06-23,CUST-00497,PROD-0052,Electronics,11460000.0,3,Completed,Indonesia,34380000.0
INV-000004,2023-08-18,CUST-01559,PROD-0069,Sports,650000.0,1,Completed,Singapore,650000.0
INV-000005,2023-08-15,CUST-02047,PROD-0010,Beauty,189000.0,3,Completed,Indonesia,567000.0
INV-000006,2023-10-04,CUST-00415,PROD-0084,Beauty,290000.0,1,Completed,Indonesia,290000.0
INV-000007,2023-09-06,CUST-01363,PROD-0053,Electronics,2720000.0,2,Completed,Indonesia,5440000.0
INV-000008,2023-01-02,CUST-01349,PROD-0049,Sports,460000.0,2,Completed,Vietnam,920000.0
INV-000009,2023-12-23,CUST-02337,PROD-0055,Beauty,191000.0,1,Completed,Indonesia,191000.0
INV-000010,2023-04-08,CUST-03987,PROD-0020,Beauty,51000.0,1,Completed,Indonesia,51000.0
INV-000011,2023-06-10,CUST-04442,PROD-0008,Sports,280000.0,1,Completed,Singapore,280000.0
INV-000012,2023-01-30,CUST-04351,PROD-0021,Home & Garden,1680000.0,2,Completed,Malaysia,3360000.0
INV-000013,2023-02-04,CUST-00562,PROD-0077,Clothing,445000.0,1,Completed,Indonesia,445000.0
INV-000014,2023-10-24,CUST-04667,PROD-0032,Electronics,9330000.0,1,Completed,Indonesia,9330000.0
INV-000015,2023-09-25,CUST-04782,PROD-0073,Sports,390000.0,1,Completed,Indonesia,390000.0
INV-000016,2023-07-22,CUST-01956,PROD-0034,Clothing,124000.0,1,Completed,Thailand,124000.0
INV-000018,2023-10-03,CUST-00820,PROD-0010,Beauty,189000.0,1,Completed,Indonesia,189000.0
INV-000019,2023-07-09,CUST-00564,PROD-0032,Electronics,9330000.0,1,Completed,Indonesia,9330000.0
